_source,attributes-age,attributes-age-estimated,attributes-bark-circumference,attributes-bark-diameter,attributes-canopy-area,attributes-canopy-diameter,attributes-description,attributes-genus,attributes-good-status,attributes-health-score,attributes-height,attributes-num-barks,attributes-species,attributes-species-clean-en,attributes-species-clean-he,attributes-year-planted,cad_code,cad_gush,cad_parcel,cluster-size,coords,environment-description,environment-grass,environment-habitat,environment-habitat-volume,environment-irrigated,environment-irrigation-type,environment-irrigation-water-quality,environment-lighting,environment-pavement,environment-signage,environment-sitting-area,environment-type,idx,importance-aesthetic,importance-botanical,importance-community,importance-historic,importance-symbolic,location-accuracy,location-address,location-block,location-city,location-elevation,location-grid,location-plot,location-street,location-street-number,location-x,location-x-il,location-y,location-y-il,meta-collection-type,meta-date,meta-internal-id,meta-source,meta-source-type,meta-tree-id,meta-url,muni_code,muni_name,muni_name_en,muni_region,photos-bark,photos-fruit,photos-general,photos-ground,photos-leaf,photos-top-view,photos-wide-view,road_id,road_name,road_type,stat_area_code
https://s3.eu-west-2.wasabisys.com/opentreebase-public/processed/canopies/extracted_trees.geojson,,,,,42.0000039898,,,,,,,,,,,,3947/79,3947,79,1,"[34.747480297256644, 31.9955590529054]",,,,,,,,,,,,,1004862,,,,,,,,,,,,,,,34.747480297256644,176273.87592405512,31.9955590529054,655917.1872334122,חישה מרחוק,2023-02-06,canopy-602162,מיפוי חופות עצים,ממשלתי,8G3PXPWW+6XH7,https://data.gov.il/dataset/nationalcanopytrees,6200,בת ים,Bat Yam,תל אביב,,,,,,,,,,,62000525
https://s3.eu-west-2.wasabisys.com/opentreebase-public/processed/canopies/extracted_trees.geojson,,,,,1.12000010639,,,,,,,,,,,,7105/91,7105,91,1,"[34.79942328565825, 32.079292314604004]",,,,,,,,,,,,,1149605,,,,,,,,,,,,,,,34.79942328565825,181217.30468490208,32.079292314604004,665182.8096219274,חישה מרחוק,2023-02-06,canopy-769604,מיפוי חופות עצים,ממשלתי,8G4P3QHX+PQ7P,https://data.gov.il/dataset/nationalcanopytrees,6300,גבעתיים,Giv'atayim,תל אביב,,,,,,,,"ערבי נחל, גבעתיים",ערבי נחל,tertiary,63000015
https://s3.eu-west-2.wasabisys.com/opentreebase-public/processed/canopies/extracted_trees.geojson,,,,,33.2400031554,,,,,,,,,,,,6185/200,6185,200,1,"[34.84520214030238, 32.06599736876616]",,,,,,,,,,,,,1369780,,,,,,,,,,,,,,,34.84520214030238,185534.5528761263,32.06599736876616,663693.220123982,חישה מרחוק,2023-02-06,canopy-1030915,מיפוי חופות עצים,ממשלתי,8G4P3R8W+93WV,https://data.gov.il/dataset/nationalcanopytrees,0681,גבעת שמואל,Giv'at Shemuel,מרכז,,,,,,,,,,,6810005
https://s3.eu-west-2.wasabisys.com/opentreebase-public/processed/canopies/extracted_trees.geojson,,,,,33.0800031395,,,,,,,,,,,,18535/34,18535,34,1,"[35.13149011714185, 32.91974860627985]",,,,,,,,,,,,,2718474,,,,,,,,,,,,,,,35.13149011714185,212632.5580821819,32.91974860627985,758317.4379424028,חישה מרחוק,2023-02-06,canopy-2601842,מיפוי חופות עצים,ממשלתי,8G4QW49J+VHXW,https://data.gov.il/dataset/nationalcanopytrees,1292,ג'דיידה - מכר,Jdeyde - Ma'ker,צפון,,,,,,,,,,,12920004
https://s3.eu-west-2.wasabisys.com/opentreebase-public/processed/canopies/extracted_trees.geojson,,,,,10.0000009499,,,,,,,,,,,,4586/521,4586,521,1,"[34.78732202901487, 31.797454070053536]",,,,,,,,,,,,,867763,,,,,,,,,,,,,,,34.78732202901487,179954.42876090866,31.797454070053536,633934.5734503192,חישה מרחוק,2023-02-06,canopy-443543,מיפוי חופות עצים,ממשלתי,8G3PQQWP+XWP3,https://data.gov.il/dataset/nationalcanopytrees,2550,גדרה,Gedera,מרכז,,,,,,,,,,,25500010
https://s3.eu-west-2.wasabisys.com/opentreebase-public/processed/canopies/extracted_trees.geojson,,,,,8.54000081135,,,,,,,,,,,,18451/21,18451,21,1,"[35.1874237708998, 32.934558394951814]",,,,,,,,,,,,,2728376,,,,,,,,,,,,,,,35.1874237708998,217864.79387945804,32.934558394951814,759957.6792490882,חישה מרחוק,2023-02-06,canopy-2612534,מיפוי חופות עצים,ממשלתי,8G4QW5MP+RXF8,https://data.gov.il/dataset/nationalcanopytrees,0485,ג'וליס,Julis,צפון,,,,,,,,,,,4850001
https://s3.eu-west-2.wasabisys.com/opentreebase-public/processed/canopies/extracted_trees.geojson,,,,,14.7400013992,,,,,,,,,,,,201000/30,201000,30,1,"[35.71406995261566, 32.984199864236]",,,,,,,,,,,,,2957763,,,,,,,,,,,,,,,35.71406995261566,267092.0842203371,32.984199864236,765578.3903829755,חישה מרחוק,2023-02-06,canopy-2870026,מיפוי חופות עצים,ממשלתי,8G4QXPM7+MJGR,https://data.gov.il/dataset/nationalcanopytrees,71,גולן,Golan,צפון,,,,,,,,,,,5571
https://s3.eu-west-2.wasabisys.com/opentreebase-public/processed/canopies/extracted_trees.geojson,,,,,56.3800053548,,,,,,,,,,,,3899/95,3899,95,1,"[34.83294675936153, 31.851457481418805]",,,,,,,,,,,,,1258524,,,,,,,,,,,,,,,34.83294675936153,184295.67330410535,31.851457481418805,639907.1368874009,חישה מרחוק,2023-02-06,canopy-898615,מיפוי חופות עצים,ממשלתי,8G3PVR2M+H5P7,https://data.gov.il/dataset/nationalcanopytrees,30,גזר,Gezer,מרכז,,,,,,,,,,,5530
https://s3.eu-west-2.wasabisys.com/opentreebase-public/processed/canopies/extracted_trees.geojson,,,,,6.2000005899,,,,,,,,,,,,8895/34,8895,34,1,"[34.95161222202335, 32.1454945284473]",,,,,,,,,,,,,1544712,,,,,,,,,,,,,,,34.95161222202335,195603.22399219868,32.1454945284473,672480.2099373487,חישה מרחוק,2023-02-06,canopy-1244332,מיפוי חופות עצים,ממשלתי,8G4P4XW2+5JXP,https://data.gov.il/dataset/nationalcanopytrees,0627,ג'לג'וליה,Jaljulya,מרכז,,,,,,,,,,,6270003
https://s3.eu-west-2.wasabisys.com/opentreebase-public/processed/canopies/extracted_trees.geojson,,,,,38.6400036706,,,,,,,,,,,,2478/26,2478,26,1,"[34.69991816457296, 31.77358642427044]",,,,,,,,,,,,,854073,,,,,,,,,,,,,,,34.69991816457296,171664.76256228227,31.77358642427044,631323.053094886,חישה מרחוק,2023-02-06,canopy-428159,מיפוי חופות עצים,ממשלתי,8G3PQMFX+CXMF,https://data.gov.il/dataset/nationalcanopytrees,0166,גן יבנה,Gan Yavne,מרכז,,,,,,,,,,,1660008
